CID,Vegetation,Surface_Temperature___C_
1,0.4085414,40.4618454
1,0.0363223,33.7864456
1,0.4182999,41.2131271
1,0.3515729,34.4632187
1,0.5196583,32.4124069
1,0.3828082,35.7142105
1,0.3500283,39.4774551
1,0.4264514,34.3367538
1,0.4087703,33.2088089
1,0.4572383,34.1624222
1,0.4689603,30.8982162
1,0.0835301,47.9131241
1,0.4286422,32.4260788
1,0.1948695,41.2650681
1,0.4436477,32.6277390
1,0.4227674,33.9710159
1,0.4372327,33.0960007
1,0.4588426,34.0393753
1,0.3541898,34.2376328
1,0.4142244,35.5193863
1,0.2834934,37.7479324
1,0.4171859,32.4841843
1,0.1552510,48.3266983
1,0.3644704,29.7668533
1,0.3915126,36.7122726
1,0.1062985,25.2550735
1,0.4048612,33.5369339
1,0.3527018,34.3777695
1,0.4756817,34.5144882
1,0.3439206,39.8055801
1,0.4318391,31.1579971
1,0.4649066,27.6408463
1,0.0599408,46.3215790
1,0.0927921,47.6471672
1,0.4775373,33.8342972
1,0.4206424,34.9007187
1,0.3086292,43.3603287
1,0.3205516,39.1664047
1,0.0981900,45.6520462
1,0.4044702,38.7118149
1,0.4204117,32.0945206
1,0.4169275,32.4089890
1,0.2608780,39.8910294
1,0.4041941,31.5715714
1,0.4774584,33.7009964
1,0.4463196,32.1252823
1,0.3065867,43.7978287
1,0.3978839,31.1819229
1,0.1506437,41.0879173
1,0.3902493,34.4153671
1,0.4215284,36.1038589
1,0.0986748,46.2485428
1,0.2975030,27.1760025
1,0.3738132,37.2557449
1,0.3509491,36.1106949
1,0.4222130,34.8050156
1,,
1,0.3194470,37.4520874
1,0.4134965,32.7063522
1,0.3346891,34.6136093
1,0.1266230,41.1395187
1,0.4660840,35.4920425
1,0.4462087,36.0901871
1,0.4861812,32.5457077
1,0.0490416,47.4072495
1,0.3821901,34.0530472
1,0.3521341,37.8218002
1,0.4412214,31.7048721
1,0.0916793,20.1758957
1,0.3912922,36.0320816
1,0.3167501,39.3065567
1,0.4764515,33.1712112
1,0.2982355,46.8884201
1,0.2042145,31.3870010
1,0.4223903,35.9363785
1,0.3540494,33.4446487
1,0.4289350,33.2224808
1,0.4752334,32.6585007
1,0.2334337,45.2470627
1,0.4554675,33.1438522
1,0.1421983,40.9952011
1,0.1439896,47.4209366
1,0.3531477,34.9075546
1,0.4059536,33.0413132
1,0.1193876,26.6051865
1,0.4196311,34.3094101
1,0.4429289,33.3147659
1,0.4433193,34.7434921
1,0.3817039,36.0053444
1,0.1778460,41.5897903
1,0.3640331,33.6873245
1,0.3057520,34.2205429
1,0.4214692,33.4719925
1,0.4367542,32.3508835
1,0.1662292,45.1650314
1,0.4751916,32.9421921
1,0.4394834,33.7249222
1,0.4194014,35.1160507
1,0.3628822,35.9090347
1,0.2657761,39.4706192
1,0.3983692,34.9007187
1,0.3579463,34.6136093
1,0.1184226,41.6628990
1,0.4474919,34.8699570
1,0.3493004,45.1137619
1,0.4161539,35.1194687
1,0.4042123,34.3264999
1,0.0333612,41.5385208
1,0.0618465,45.2690010
1,0.4062477,31.7082901
1,0.3743566,36.1893082
1,0.3422512,35.0374374
1,0.3641853,33.3010941
1,0.4589296,33.4856644
1,0.1740060,48.1387100
1,0.1524363,45.4419022
1,0.4506822,33.6018753
1,0.4465315,34.6238632
1,0.4218446,32.5833054
1,0.0633699,51.8609390
1,0.2954115,31.5920792
1,0.3019611,38.6605453
1,0.1674928,45.9364738
1,0.3848495,43.2710762
1,0.3440523,40.9984665
1,0.4736251,36.4935226
1,0.3559749,41.4018021
1,0.3921540,37.0848312
1,0.4090447,38.2879868
1,0.3819204,35.4988785
1,0.2497978,29.8728104
1,0.4370741,34.0120316
1,0.4194073,31.1511612
1,0.4869325,40.2499161
1,0.3295078,42.9569931
1,0.0312276,40.4435997
1,0.1328272,45.4384842
1,0.3834213,36.2850266
1,0.2183035,35.0818710
1,0.4330535,34.8597031
1,0.3658670,34.3709335
1,0.0901024,48.3033104
1,0.2193086,41.3537102
1,0.5022255,31.7048721
1,0.4125298,36.8660812
1,0.1276250,42.8749619
1,0.4111896,35.1468124
